                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95648,                 2.0729,                 1.2696,                0.73981,                0.06452,                0.24545,                0.07319,                 1.5067,                 3.3647,                  2.045,                0.00042,                0.00042,                0.00042
                      2,                0.82424,                 1.3041,                 1.1444,                 0.8874,                0.25806,                0.50093,                0.29532,                 1.5236,                 2.8344,                 1.5796,             0.00084297,             0.00084297,             0.00084297
                      3,                0.83458,                 1.1454,                 1.1266,                0.83005,                0.89247,                0.88659,                0.50491,                 1.3161,                 1.6029,                  1.518,              0.0012485,              0.0012485,              0.0012485
                      4,                0.81229,                 1.0552,                 1.0938,                0.63768,                0.66667,                 0.6796,                0.33321,                 1.5886,                 2.0639,                 1.8861,              0.0016366,              0.0016366,              0.0016366
                      5,                0.82286,                 0.9831,                 1.1046,                0.60449,                0.82796,                0.72867,                0.34081,                 1.6148,                 2.4665,                 1.9777,              0.0018416,              0.0018416,              0.0018416
                      6,                0.88343,                 1.0088,                 1.1561,                0.95828,                0.98797,                 0.9897,                0.63068,                 1.1321,                 1.3653,                 1.3079,              0.0018416,              0.0018416,              0.0018416
                      7,                0.82373,                 0.8953,                 1.1081,                 0.6714,                0.80645,                0.70814,                0.38346,                 1.3449,                 1.5107,                  1.414,               0.001802,               0.001802,               0.001802
                      8,                0.84128,                0.82861,                 1.1149,                0.91498,                0.92574,                0.96292,                0.69571,                 0.8812,                0.82768,                 1.1157,              0.0017624,              0.0017624,              0.0017624
                      9,                0.79376,                0.77132,                 1.0953,                0.96769,                      1,                0.98792,                0.74869,                0.81552,                0.63496,                 1.0455,              0.0017228,              0.0017228,              0.0017228
                     10,                  0.801,                0.76321,                 1.0859,                0.78144,                0.88172,                0.85954,                0.45809,                 1.6259,                 1.0696,                 1.6233,              0.0016832,              0.0016832,              0.0016832
                     11,                0.78286,                0.71947,                 1.0863,                0.84923,                0.90323,                0.91817,                0.68088,                0.78565,                0.80056,                 1.0285,              0.0016436,              0.0016436,              0.0016436
                     12,                 0.7664,                0.67228,                 1.0739,                0.86602,                0.90323,                0.95114,                0.70361,                0.87421,                0.76558,                 1.0522,               0.001604,               0.001604,               0.001604
                     13,                0.70981,                0.64435,                 1.0557,                0.88778,                0.95699,                0.95879,                0.69063,                  1.002,                0.79112,                 1.1233,              0.0015644,              0.0015644,              0.0015644
                     14,                0.67203,                0.57035,                 1.0235,                0.88613,                0.92045,                0.94604,                0.60942,                 1.0387,                0.90597,                 1.1685,              0.0015248,              0.0015248,              0.0015248
                     15,                0.68401,                0.57931,                 1.0446,                0.90271,                0.95699,                0.96721,                0.68315,                0.85068,                0.71861,                 1.1051,              0.0014852,              0.0014852,              0.0014852
                     16,                0.67552,                0.57009,                 1.0416,                0.72123,                0.53763,                0.68756,                0.44867,                  1.087,                 1.3597,                 1.2352,              0.0014456,              0.0014456,              0.0014456
                     17,                0.68707,                 0.5641,                 1.0551,                0.84846,                0.90307,                0.95605,                0.66815,                0.93093,                0.83136,                 1.0813,               0.001406,               0.001406,               0.001406
                     18,                  0.636,                0.53171,                 1.0065,                0.92586,                      1,                0.97802,                 0.7719,                0.68713,                 0.5775,                0.99028,              0.0013664,              0.0013664,              0.0013664
                     19,                0.64055,                0.53965,                 1.0159,                0.85499,                0.95699,                0.96338,                0.73311,                 0.8019,                0.67657,                0.99294,              0.0013268,              0.0013268,              0.0013268
                     20,                0.62521,                 0.5057,                0.98234,                0.89171,                0.92473,                0.96198,                0.74368,                 0.7967,                0.62693,                 1.0083,              0.0012872,              0.0012872,              0.0012872
                     21,                0.64605,                0.53914,                 1.0479,                0.97946,                0.95699,                 0.9851,                0.78103,                0.77936,                0.50301,                 1.0428,              0.0012476,              0.0012476,              0.0012476
                     22,                0.56537,                0.46693,                0.96774,                0.85448,                0.98925,                0.97645,                0.81161,                0.58818,                0.51842,                0.92293,               0.001208,               0.001208,               0.001208
                     23,                0.62358,                0.50637,                 1.0197,                0.99614,                0.95699,                0.98468,                0.80027,                0.64135,                0.48454,                0.92053,              0.0011684,              0.0011684,              0.0011684
                     24,                0.59097,                0.46028,                0.98532,                0.95569,                0.95699,                0.98595,                0.80548,                0.66894,                0.51127,                0.95779,              0.0011288,              0.0011288,              0.0011288
                     25,                0.55891,                 0.4431,                0.97366,                0.96768,                0.96774,                0.98902,                0.85666,                0.54642,                0.44428,                0.89289,              0.0010892,              0.0010892,              0.0010892
                     26,                0.58402,                0.48073,                0.99284,                0.98913,                0.97813,                0.99407,                0.82268,                0.62549,                0.41801,                0.93691,              0.0010496,              0.0010496,              0.0010496
                     27,                 0.5682,                0.45308,                0.97574,                 0.9789,                0.99788,                0.99239,                 0.8338,                0.56321,                0.40693,                0.92027,                0.00101,                0.00101,                0.00101
                     28,                0.57611,                0.46769,                0.99027,                 0.9342,                0.92473,                0.95856,                0.81587,                 0.5818,                0.41951,                0.94262,              0.0009704,              0.0009704,              0.0009704
                     29,                0.54806,                0.43568,                0.97034,                0.91656,                0.91398,                0.94462,                0.75822,                 0.6959,                0.53774,                0.99418,              0.0009308,              0.0009308,              0.0009308
                     30,                0.53996,                0.42759,                0.96887,                0.97784,                0.94885,                0.97968,                0.85043,                0.52328,                0.39152,                0.89898,              0.0008912,              0.0008912,              0.0008912
                     31,                0.52344,                 0.4232,                0.96521,                 0.9892,                0.98482,                0.99381,                0.82831,                0.61899,                0.37474,                0.96086,              0.0008516,              0.0008516,              0.0008516
                     32,                0.52125,                0.41935,                 0.9622,                0.98104,                0.97849,                0.98358,                0.86486,                0.50654,                0.34108,                0.88353,               0.000812,               0.000812,               0.000812
                     33,                0.50431,                0.39363,                 0.9572,                0.92295,                0.95699,                0.98589,                 0.8228,                0.59936,                0.43546,                0.97807,              0.0007724,              0.0007724,              0.0007724
                     34,                0.51469,                0.38871,                0.97224,                0.98827,                0.98925,                0.98537,                0.85093,                0.60525,                0.33382,                0.96288,              0.0007328,              0.0007328,              0.0007328
                     35,                0.52916,                0.40401,                0.96713,                0.98829,                0.98925,                0.99447,                0.88097,                0.50774,                0.31834,                0.87313,              0.0006932,              0.0006932,              0.0006932
                     36,                0.49245,                0.38876,                0.94313,                0.98934,                0.99787,                0.99457,                0.88295,                0.51115,                0.35416,                0.87216,              0.0006536,              0.0006536,              0.0006536
                     37,                 0.4836,                0.36714,                0.95599,                0.97678,                0.98925,                0.99384,                0.86727,                0.55624,                0.37829,                0.89709,               0.000614,               0.000614,               0.000614
                     38,                0.44585,                0.35663,                0.92429,                0.96573,                0.97849,                0.98643,                0.84879,                0.57448,                0.37837,                0.91019,              0.0005744,              0.0005744,              0.0005744
                     39,                0.48901,                0.37315,                0.96309,                0.98893,                0.98925,                0.99291,                0.86688,                0.54665,                0.34643,                0.87283,              0.0005348,              0.0005348,              0.0005348
                     40,                0.48106,                 0.3695,                0.94886,                0.98805,                0.96774,                0.99367,                0.89018,                 0.4847,                0.33359,                 0.8474,              0.0004952,              0.0004952,              0.0004952
                     41,                0.34544,                0.30269,                0.85599,                0.97628,                0.98925,                0.99373,                0.87218,                0.55495,                0.34196,                0.87834,              0.0004556,              0.0004556,              0.0004556
                     42,                0.33932,                0.27453,                  0.861,                0.88013,                0.96774,                0.96292,                 0.7918,                0.67982,                0.48363,                0.98458,               0.000416,               0.000416,               0.000416
                     43,                0.32278,                0.25678,                0.84697,                0.89734,                0.98925,                0.97697,                0.75664,                0.75626,                0.54772,                 1.0716,              0.0003764,              0.0003764,              0.0003764
                     44,                0.30412,                0.25248,                0.82409,                0.94717,                0.98925,                0.99271,                0.85316,                0.58744,                0.35712,                0.99669,              0.0003368,              0.0003368,              0.0003368
                     45,                0.29708,                0.23841,                0.82534,                0.96837,                 0.9876,                0.99237,                0.84717,                0.63399,                0.35525,                 1.0121,              0.0002972,              0.0002972,              0.0002972
                     46,                0.30144,                0.24887,                   0.84,                0.94782,                0.98925,                0.99116,                0.84812,                0.64546,                0.38711,                 1.0033,              0.0002576,              0.0002576,              0.0002576
                     47,                0.28876,                0.22665,                0.83997,                0.96821,                0.98255,                0.98894,                0.86213,                0.59398,                0.38733,                0.94682,               0.000218,               0.000218,               0.000218
                     48,                 0.2763,                0.21981,                 0.8172,                0.97622,                0.96774,                0.98992,                0.86739,                0.54608,                0.38802,                0.92526,              0.0001784,              0.0001784,              0.0001784
                     49,                0.27109,                0.21626,                0.81835,                0.98909,                0.97474,                0.98937,                0.87532,                0.52163,                 0.3628,                0.91062,              0.0001388,              0.0001388,              0.0001388
                     50,                0.27301,                0.20694,                0.80791,                0.98765,                0.98925,                0.99135,                0.88412,                0.51602,                0.32524,                0.92288,               9.92e-05,               9.92e-05,               9.92e-05
